pkn,0.extinct
ugb,0.extinct
xmp,0.extinct
xmh,0.extinct
uwa,0.extinct
wik,2.moribund
wig,3.shifting
kbe,0.extinct
ump,1.nearly extinct
kuy,2.moribund
ayd,0.extinct
umd,0.extinct
ggd,0.extinct
thd,3.shifting
uky,0.extinct
yiy,2.moribund
yyr,0.extinct
yrm,0.extinct
kkp,2.moribund
mvl,0.extinct
amz,0.extinct
avm,0.extinct
xgd,0.extinct
dgt,0.extinct
gwm,0.extinct
tjj,1.nearly extinct
awg,0.extinct
yxm,0.extinct
xpj,0.extinct
rrt,0.extinct
aid,0.extinct
lnj,0.extinct
gdj,0.extinct
aea,0.extinct
xut,0.extinct
nlw,0.extinct
gko,0.extinct
ikr,0.extinct
tgz,0.extinct
ggr,0.extinct
typ,0.extinct
kjn,1.nearly extinct
vmb,0.extinct
wmi,0.extinct
nxn,0.extinct
mnt,0.extinct
xyk,0.extinct
wnn,0.extinct
xyj,0.extinct
xyt,0.extinct
xmy,0.extinct
ljx,0.extinct
qgu,0.extinct
nyt,0.extinct
wrb,0.extinct
yil,0.extinct
wga,0.extinct
jao,2.moribund
bjy,0.extinct
xgm,0.extinct
coj,0.extinct
klb,1.nearly extinct
yuf,3.shifting
ppi,1.nearly extinct
yum,3.shifting
mrc,2.moribund
mov,2.moribund
coc,3.shifting
dih,3.shifting
gpn,2.moribund
caz,0.extinct
kor,5.not endangered
jje,3.shifting
lvk,3.shifting
sln,0.extinct
cbt,4.threatened
jeb,1.nearly extinct
djd,2.moribund
nug,0.extinct
wmb,1.nearly extinct
nji,0.extinct
jig,2.moribund
cid,0.extinct
sii,3.shifting
pci,4.threatened
gau,3.shifting
gdb,4.threatened
kfb,3.shifting
nit,3.shifting
brh,4.threatened
kru,4.threatened
xis,5.not endangered
kxl,4.threatened
mjt,4.threatened
kmj,4.threatened
brw,3.shifting
kfg,4.threatened
tcy,4.threatened
vmd,3.shifting
kfd,4.threatened
kfe,3.shifting
pkr,5.not endangered
udg,5.not endangered
iru,3.shifting
ima,5.not endangered
pcf,4.threatened
tam,5.not endangered
kep,5.not endangered
yeu,3.shifting
ptq,5.not endangered
mjp,4.threatened
ymr,5.not endangered
era,4.threatened
mjv,4.threatened
muv,5.not endangered
oty,0.extinct
kpb,5.not endangered
mal,5.not endangered
kfh,3.shifting
mjo,5.not endangered
mjr,4.threatened
vis,3.shifting
wku,4.threatened
pty,4.threatened
wkl,4.threatened
thn,4.threatened
aaf,3.shifting
kej,4.threatened
ctt,2.moribund
yea,5.not endangered
pcg,5.not endangered
ull,0.extinct
all,3.shifting
mjq,0.extinct
kev,4.threatened
kfa,3.shifting
url,0.extinct
tcx,3.shifting
xua,3.shifting
cty,5.not endangered
xub,3.shifting
xuj,5.not endangered
qkn,0.extinct
kan,5.not endangered
hoy,4.threatened
sle,4.threatened
bfq,3.shifting
kxu,5.not endangered
uki,5.not endangered
kxv,5.not endangered
mha,3.shifting
peg,5.not endangered
kfc,4.threatened
mrr,5.not endangered
daq,5.not endangered
kff,5.not endangered
wsg,5.not endangered
fmu,5.not endangered
esg,5.not endangered
mut,5.not endangered
emu,5.not endangered
gno,4.threatened
cde,5.not endangered
tel,5.not endangered
mju,1.nearly extinct
mmk,5.not endangered
wbq,5.not endangered
kwx,5.not endangered
agg,3.shifting
kbv,3.shifting
amt,3.shifting
mmp,2.moribund
ury,4.threatened
bfe,3.shifting
vto,3.shifting
jbr,4.threatened
kdy,3.shifting
kuc,4.threatened
dbe,3.shifting
bnv,1.nearly extinct
mrx,2.moribund
bkl,4.threatened
itx,2.moribund
kwt,3.shifting
mqr,2.moribund
mbj,3.shifting
kwa,3.shifting
jup,5.not endangered
yab,4.threatened
axb,0.extinct
tob,4.threatened
plg,3.shifting
moc,3.shifting
kbc,3.shifting
teh,0.extinct
ona,0.extinct
umo,0.extinct
bor,3.shifting
otu,0.extinct
kmx,5.not endangered
bcf,5.not endangered
kjd,5.not endangered
kxz,5.not endangered
